name,win,loss,nc,draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.
Sara McMann,10,5,0,0,"5'6""",135lbs.,"66""",Orthodox,"Sep24,1980",2.39,46%,1.86,47%,4.51,63%,66%,0.6
Lina Lansberg,4,4,0,0,"5'7""",135lbs.,"65""",Orthodox,"Mar13,1982",2.76,57%,3.70,44%,0.71,33%,50%,0.1
Tony Gravely,1,1,0,0,"5'5""",135lbs.,"69""",Orthodox,"Sep28,1991",3.94,59%,2.03,44%,4.77,66%,41%,1.2
Conor McGregor,10,2,0,0,"5'9""",155lbs.,"74""",Southpaw,"Jul14,1988",5.43,49%,4.40,55%,0.75,62%,70%,0.0
Ode Osbourne,1,1,0,0,"5'7""",135lbs.,"73""",Southpaw,"Jan09,1992",3.88,51%,2.95,43%,2.01,100%,66%,2.0
Diego Ferreira,8,2,0,0,"5'9""",155lbs.,"74""",Orthodox,"Jan18,1985",5.07,36%,3.11,61%,1.04,27%,70%,1.0
Maycee Barber,4,1,0,0,"5'5""",125lbs.,"65""",Switch,"May18,1998",6.02,60%,3.15,49%,0.95,30%,80%,0.3
Sodiq Yusuff,5,0,0,0,"5'9""",145lbs.,"71""",Orthodox,"May19,1993",6.10,49%,4.06,58%,0.00,0%,72%,0.3
JJ Aldrich,4,3,0,0,"5'5""",125lbs.,"67""",Southpaw,"Sep29,1992",3.88,40%,4.68,62%,0.31,25%,53%,0.0
Dooho Choi,3,3,0,0,"5'10""",145lbs.,"70""",Orthodox,"Apr10,1991",5.32,51%,6.38,53%,0.41,20%,50%,0.0
Kyung Ho Kang,6,2,1,0,"5'9""",135lbs.,"73""",Orthodox,"Sep09,1987",2.52,44%,2.43,58%,2.53,59%,71%,1.1
Pingyuan Liu,2,2,0,0,"5'6""",135lbs.,"72""",Orthodox,"Feb13,1993",2.36,33%,2.99,54%,0.25,20%,56%,1.0
Ciryl Gane,3,0,0,0,"6'4""",245lbs.,"81""",Orthodox,"Apr12,1990",5.12,49%,2.09,73%,1.32,60%,100%,0.9
SeungWoo Choi,1,2,0,0,"6'0""",145lbs.,"74""",Orthodox,"Nov03,1992",3.33,42%,2.77,45%,0.69,50%,66%,0.0
Suman Mokhtarian,0,2,0,0,"5'8""",145lbs.,"72""",Orthodox,"Jun13,1992",2.21,43%,6.85,48%,0.00,0%,0%,0.0
Dong Hyun Ma,3,5,0,0,"5'11""",155lbs.,"70""",Orthodox,"Sep09,1988",2.84,41%,4.10,54%,1.27,53%,33%,0.0
Matt Schnell,4,3,0,0,"5'8""",125lbs.,"70""",Orthodox,"Jan15,1990",3.73,35%,4.07,60%,0.64,33%,53%,1.6
Raoni Barcelos,4,0,0,0,"5'7""",135lbs.,"67""",Orthodox,"May01,1987",4.79,50%,4.46,64%,2.31,58%,83%,0.7
Miranda Granger,1,1,0,0,"5'7""",125lbs.,"68""",Orthodox,"Apr13,1992",3.47,43%,3.37,64%,0.00,0%,0%,0.0
Urijah Faber,20,10,0,0,"5'6""",135lbs.,"67""",Orthodox,"May14,1979",2.65,40%,2.59,64%,1.54,30%,58%,0.8
Geoff Neal,6,0,0,0,"5'11""",170lbs.,"75""",Southpaw,"Aug28,1990",6.04,49%,3.57,65%,0.85,50%,92%,0.4
Ben Saunders,9,10,0,0,"6'2""",170lbs.,"77""",Orthodox,"Apr13,1983",3.23,50%,3.58,51%,0.20,40%,66%,1.3
Daniel Teymur,1,4,0,0,"5'5""",145lbs.,"69""",Orthodox,"Feb03,1988",3.08,46%,3.93,56%,0.56,18%,60%,0.3
Punahele Soriano,2,0,0,0,"5'11""",185lbs.,"72""",Southpaw,"Nov22,1992",3.99,42%,2.41,46%,3.28,80%,0%,0.0
Aspen Ladd,4,1,0,0,"5'6""",135lbs.,"66""",Orthodox,"Mar01,1995",5.22,55%,4.84,46%,2.45,75%,66%,1.2
Rob Font,7,3,0,0,"5'8""",135lbs.,"71""",Orthodox,"Jun25,1987",5.11,41%,3.89,63%,1.25,36%,50%,0.8
Thiago Alves,15,12,0,0,"5'9""",170lbs.,"70""",Orthodox,"Oct03,1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Jacob Kilburn,0,2,0,0,"5'9""",145lbs.,"72""",Orthodox,"Jun28,1995",0.77,55%,7.26,17%,0.00,0%,0%,0.0
Matt Sayles,2,2,0,0,"5'7""",145lbs.,"68""",Orthodox,"Feb21,1994",5.44,42%,3.13,61%,0.00,0%,81%,0.4
Matt Wiman,10,7,0,0,"5'10""",155lbs.,"68""",Orthodox,"Sep19,1983",3.18,50%,3.57,51%,2.14,37%,56%,1.5
Trevor Smith,7,9,0,0,"6'3""",185lbs.,"75""",Orthodox,"Jan05,1981",3.29,55%,3.31,51%,1.70,32%,60%,0.7
Jacare Souza,19,7,1,0,"6'1""",185lbs.,"72""",Orthodox,"Dec07,1979",2.54,46%,2.81,62%,2.46,38%,60%,1.4
Antonio Arroyo,2,1,0,0,"6'3""",185lbs.,"73""",Orthodox,"Jul01,1989",3.12,69%,1.87,43%,1.95,41%,44%,0.4
Sergio Moraes,8,5,0,1,"6'0""",170lbs.,"72""",Orthodox,"Jul23,1982",2.42,42%,3.73,59%,1.20,38%,75%,0.4
Eduardo Garagorri,1,1,0,0,"5'9""",145lbs.,"70""",Orthodox,"May28,1989",3.75,54%,2.22,60%,0.79,100%,53%,0.0
Warlley Alves,7,4,0,0,"5'11""",170lbs.,"72""",Orthodox,"Jan04,1991",3.01,46%,3.69,50%,1.39,52%,75%,1.0
Douglas Silva de Andrade,4,3,0,0,"5'7""",145lbs.,"68""",Orthodox,"Jun22,1985",3.96,38%,4.43,58%,0.65,50%,65%,0.0
Renan Barao,11,8,0,0,"5'6""",145lbs.,"70""",Orthodox,"Jan31,1987",3.78,36%,3.90,57%,1.49,41%,91%,0.5
Isabela de Padua,0,1,0,0,"5'3""",125lbs.,"64""",Orthodox,"Sep04,1991",1.00,35%,2.07,50%,2.00,66%,0%,1.0
Zabit Magomedsharipov,6,0,0,0,"6'1""",145lbs.,"73""",Orthodox,"Mar01,1991",4.89,48%,3.00,64%,5.22,56%,77%,0.8
Danny Roberts,6,4,0,0,"6'1""",170lbs.,"74""",Southpaw,"Jul14,1987",3.41,44%,3.08,55%,0.18,6%,53%,0.4
Shamil Gamzatov,1,0,0,0,"6'2""",205lbs.,"76""",Orthodox,"Aug09,1990",4.27,46%,2.13,58%,0.00,0%,50%,0.0
Dalcha Lungiambula,1,1,0,0,"5'8""",205lbs.,"76""",Orthodox,"Jul31,1987",1.79,55%,2.69,41%,2.83,50%,66%,0.0
Rustam Khabilov,10,3,0,0,"5'8""",155lbs.,"73""",Orthodox,"Nov04,1986",1.98,34%,2.16,65%,3.95,41%,61%,0.1
Sergey Khandozhko,1,1,0,0,"6'1""",170lbs.,"74""",Orthodox,"May19,1992",2.83,42%,1.70,60%,0.50,16%,64%,0.0
Roman Kopylov,0,1,0,0,"6'0""",185lbs.,"75""",Southpaw,"May04,1991",2.64,38%,3.07,63%,0.00,0%,66%,0.0
David Zawada,1,2,0,0,"6'0""",170lbs.,"75""",Orthodox,"Aug01,1990",3.38,41%,4.32,56%,0.94,22%,60%,3.3
Abubakar Nurmagomedov,0,1,0,0,"5'11""",170lbs.,"72""",Orthodox,"Nov13,1989",1.41,44%,0.71,81%,5.29,100%,0%,0.0
Grigory Popov,0,2,0,0,"5'7""",135lbs.,"68""",Switch,"Apr18,1984",3.63,37%,4.20,55%,0.00,0%,45%,0.0
Nate Diaz,19,11,0,0,"6'0""",170lbs.,"76""",Southpaw,"Apr16,1985",4.62,45%,3.78,53%,1.19,30%,42%,1.4
Stephen Thompson,10,4,0,1,"6'0""",170lbs.,"75""",Orthodox,"Feb11,1983",3.93,44%,2.73,59%,0.36,45%,78%,0.0
Gregor Gillespie,6,1,0,0,"5'7""",155lbs.,"71""",Orthodox,"Nov13,1986",3.58,49%,2.14,60%,7.02,47%,0%,0.9
Brad Tavares,12,6,0,0,"6'1""",185lbs.,"74""",Orthodox,"Dec21,1987",3.00,40%,2.76,55%,1.03,27%,77%,0.0
Chance Rencountre,2,2,0,0,"6'2""",170lbs.,"75""",Southpaw,"Dec31,1986",1.10,20%,3.62,49%,1.35,26%,16%,0.3
Julio Arce,4,2,0,0,"5'7""",145lbs.,"70""",Southpaw,"Oct27,1989",4.25,36%,2.87,67%,0.58,30%,93%,0.6
Ben Askren,1,2,0,0,"5'11""",170lbs.,"73""",Orthodox,"Jul18,1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9
Stevie Ray,7,4,0,0,"5'10""",155lbs.,"70""",Southpaw,"Mar25,1990",3.73,44%,2.93,54%,0.75,46%,55%,0.6
Alex White,4,6,0,0,"6'0""",155lbs.,"71""",Southpaw,"Oct22,1988",3.76,42%,3.07,60%,0.92,28%,71%,0.5
Sergei Pavlovich,2,1,0,0,"6'3""",257lbs.,"84""",Southpaw,"May13,1992",6.55,52%,4.59,44%,0.00,0%,50%,0.0
Aleksandra Albu,2,2,0,0,"5'2""",115lbs.,"63""",Orthodox,"Jul14,1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Yair Rodriguez,8,1,1,0,"5'11""",145lbs.,"71""",Orthodox,"Oct06,1992",4.33,45%,3.13,57%,0.90,29%,63%,0.9
Joe Lauzon,15,12,0,0,"5'10""",155lbs.,"71""",Orthodox,"May22,1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0
Jonathan Pearce,1,1,0,0,"6'0""",155lbs.,"71""",Switch,"May01,1992",11.21,57%,7.85,47%,4.48,50%,80%,0.0
Manny Bermudez,3,2,0,0,"5'10""",145lbs.,"71""",Orthodox,"Jul16,1994",2.92,61%,2.68,46%,3.06,54%,0%,3.1
Kyle Bochniak,2,5,0,0,"5'7""",145lbs.,"70""",Orthodox,"Feb05,1987",2.63,31%,5.11,58%,1.14,15%,62%,0.0
Boston Salmon,1,2,0,0,"5'9""",135lbs.,"69""",Southpaw,"Nov20,1990",4.13,37%,7.75,59%,0.00,0%,100%,0.0
Daniel Spitz,1,3,0,0,"6'7""",245lbs.,"82""",Orthodox,"Jul31,1990",2.60,35%,5.30,46%,0.74,66%,0%,0.0
Cub Swanson,16,10,0,0,"5'8""",145lbs.,"70""",Orthodox,"Nov02,1983",4.59,49%,3.65,61%,1.06,50%,60%,0.5
Kron Gracie,1,1,0,0,"5'9""",145lbs.,"70""",Southpaw,"Jul11,1988",5.15,41%,8.13,53%,0.88,25%,0%,0.9
James Vick,9,5,0,0,"6'3""",155lbs.,"76""",Orthodox,"Feb23,1987",4.13,39%,3.31,60%,0.26,33%,57%,0.7
Matt Frevola,3,1,0,1,"5'9""",155lbs.,"71""",Orthodox,"Jun11,1990",3.19,39%,3.47,60%,3.30,40%,75%,1.4
Mike Davis,1,2,0,0,"6'0""",145lbs.,"72""",Orthodox,"Oct07,1992",5.87,54%,6.36,54%,0.77,33%,66%,0.0
Thomas Gifford,0,2,0,0,"6'1""",155lbs.,"75""",Orthodox,"Jul26,1992",3.97,37%,6.45,37%,0.50,33%,33%,0.0
Hector Aldana,0,3,0,0,"5'11""",170lbs.,"72""",Orthodox,"Aug17,1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
Lauren Mueller,2,3,0,0,"5'5""",125lbs.,"67""",Orthodox,"Nov15,1991",4.08,41%,3.77,58%,0.70,50%,71%,0.0
Al Iaquinta,9,5,0,0,"5'10""",155lbs.,"70""",Orthodox,"Apr30,1987",4.06,40%,4.44,61%,0.64,18%,74%,0.2
Dhiego Lima,4,5,0,0,"6'2""",170lbs.,"75""",Orthodox,"Jan31,1989",2.84,40%,2.96,62%,1.66,44%,66%,0.8
Luke Jumeau,2,2,0,0,"5'11""",170lbs.,"72""",Orthodox,"Feb12,1988",2.93,43%,3.17,58%,0.25,100%,86%,0.0
Rostem Akman,0,2,0,0,"5'10""",170lbs.,"72""",Switch,"Dec19,1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0
Nadia Kassem,1,2,0,0,"5'5""",125lbs.,"66""",Southpaw,"Nov15,1995",3.13,41%,4.48,48%,0.46,33%,40%,2.8
Khalid Taha,1,1,1,0,"5'5""",135lbs.,"69""",Orthodox,"Feb15,1992",2.64,50%,2.29,45%,0.00,0%,63%,0.5
Danilo Belluardo,0,2,0,0,"6'0""",155lbs.,"74""",Southpaw,"Jul21,1994",1.52,61%,4.79,41%,3.50,100%,50%,0.0
Gunnar Nelson,8,5,0,0,"5'11""",170lbs.,"72""",Switch,"Jul28,1988",1.71,57%,3.33,49%,1.72,55%,66%,0.9
Khalil Rountree Jr.,4,4,1,0,"6'1""",205lbs.,"76""",Southpaw,"Feb26,1990",3.01,40%,2.85,47%,0.00,0%,46%,0.2
Alen Amedovski,0,2,0,0,"5'10""",185lbs.,"74""",Orthodox,"Apr06,1988",0.52,28%,3.14,37%,0.00,0%,0%,0.0
Siyar Bahadurzada,4,4,0,0,"5'11""",170lbs.,"73""",Orthodox,"Apr17,1984",2.91,40%,3.23,49%,1.32,61%,62%,0.3
Brandon Davis,3,5,0,0,"5'10""",135lbs.,"72""",Orthodox,"May08,1990",4.65,35%,4.33,60%,0.71,45%,56%,0.1
Nohelin Hernandez,0,2,0,0,"5'10""",135lbs.,"71""",Orthodox,"Mar01,1994",1.32,34%,2.63,52%,0.71,50%,37%,0.0
Steven Peterson,2,4,0,0,"5'10""",145lbs.,"70""",Orthodox,"May29,1990",4.65,35%,5.89,56%,2.02,28%,75%,0.4
Martin Bravo,1,3,0,0,"5'8""",145lbs.,"71""",Southpaw,"Sep21,1993",7.66,39%,5.72,51%,2.60,35%,85%,0.0
Carlos Huachin,0,2,0,0,"5'4""",135lbs.,"67""",Southpaw,"Jun04,1996",2.10,21%,4.80,50%,0.00,0%,66%,0.0
Marco Polo Reyes,4,4,0,0,"5'11""",155lbs.,"71""",Orthodox,"Nov07,1984",6.00,37%,5.52,59%,0.00,0%,46%,0.0
Ariane Carnelossi,0,1,0,0,"5'2""",115lbs.,"61""",Orthodox,"Nov17,1992",6.03,38%,7.71,50%,0.00,0%,0%,0.0
Sergio Pettis,9,5,0,0,"5'6""",125lbs.,"69""",Orthodox,"Aug18,1993",3.88,37%,2.91,65%,0.85,40%,67%,0.4
Vinicius Moreira,1,3,0,0,"6'4""",205lbs.,"76""",Orthodox,"Feb28,1989",2.79,60%,5.34,37%,2.61,18%,0%,1.7
Claudio Puelles,2,1,0,0,"5'11""",155lbs.,"72""",Southpaw,"Apr21,1996",1.95,44%,3.73,50%,3.06,36%,0%,1.3
Marcos Mariano,0,2,0,0,"6'1""",155lbs.,"76""",Switch,"Oct12,1986",0.25,27%,2.11,43%,0.00,0%,28%,0.0
Todd Duffee,3,3,1,0,"6'3""",260lbs.,"78""",Orthodox,"Dec06,1985",5.93,37%,2.87,56%,0.72,25%,90%,0.0
Tristan Connelly,1,0,0,0,"5'10""",170lbs.,"68""",Orthodox,"Dec12,1985",4.27,51%,2.13,57%,0.00,0%,60%,1.0
Antonio Carlos Junior,7,4,1,0,"6'2""",185lbs.,"79""",Orthodox,"Mar16,1990",1.91,44%,1.98,53%,3.70,44%,53%,0.9
Misha Cirkunov,6,3,0,0,"6'3""",205lbs.,"77""",Orthodox,"Feb27,1987",4.18,52%,2.89,62%,4.42,57%,71%,2.4
Brad Katona,2,2,0,0,"5'6""",135lbs.,"64""",Orthodox,"Dec19,1991",3.33,51%,2.98,57%,1.25,22%,47%,0.0
Chas Skelly,7,3,1,0,"5'11""",145lbs.,"72""",Orthodox,"May11,1985",2.02,40%,3.35,48%,1.71,34%,33%,2.4
Ryan MacDonald,0,2,0,0,"5'11""",135lbs.,"71""",Switch,"Mar18,1993",2.28,29%,6.49,45%,0.00,0%,0%,0.0
Kyle Prepolec,0,2,0,0,"5'10""",170lbs.,"70""",Southpaw,"Aug30,1989",3.20,34%,4.70,54%,0.00,0%,40%,0.0
Islam Makhachev,7,1,0,0,"5'10""",155lbs.,"70""",Orthodox,"Oct27,1991",2.10,56%,0.76,72%,3.40,68%,93%,0.8
Shamil Abdurakhimov,5,3,0,0,"6'3""",235lbs.,"76""",Orthodox,"Sep02,1981",2.45,44%,2.45,58%,1.23,24%,47%,0.2
Mairbek Taisumov,7,2,0,0,"5'9""",155lbs.,"73""",Orthodox,"Aug08,1988",2.98,39%,3.03,64%,1.34,63%,88%,0.0
Teemu Packalen,1,3,0,0,"6'1""",155lbs.,"75""",Orthodox,"May22,1987",2.57,54%,3.91,47%,2.31,25%,100%,1.5
Nordine Taleb,7,5,0,0,"6'1""",170lbs.,"74""",Orthodox,"Jun10,1981",3.66,51%,2.62,66%,1.94,76%,73%,0.0
Don Madge,2,0,0,0,"6'0""",155lbs.,"72""",Southpaw,"Nov12,1990",2.08,52%,0.74,67%,2.22,25%,80%,0.7
Derrick Krantz,0,2,0,0,"5'10""",170lbs.,"72""",Orthodox,"Jan13,1988",2.07,37%,4.03,50%,3.18,50%,0%,0.8
Wu Yanan,1,2,0,0,"5'8""",125lbs.,"66""",Orthodox,"Apr18,1996",4.79,45%,4.35,52%,0.44,14%,58%,0.4
Su Mudaerji,1,1,0,0,"5'8""",135lbs.,"72""",Southpaw,"Jan20,1996",5.02,59%,2.49,58%,0.68,100%,75%,1.4
Andre Soukhamthath,2,5,0,0,"5'9""",135lbs.,"70""",Orthodox,"Oct23,1988",2.77,44%,4.31,49%,1.25,53%,58%,0.2
Damir Ismagulov,3,0,0,0,"5'9""",155lbs.,"70""",Orthodox,"Feb03,1991",3.76,43%,1.87,69%,1.67,31%,100%,0.0
Lara Procopio,0,1,0,0,"5'4""",135lbs.,"67""",Orthodox,"Nov14,1995",11.00,56%,11.40,51%,0.00,0%,0%,0.0
Devonte Smith,3,1,0,0,"5'9""",155lbs.,"76""",Orthodox,"Jul30,1993",6.88,56%,3.65,59%,0.00,0%,100%,0.0
Christos Giagos,3,4,0,0,"5'10""",155lbs.,"71""",Orthodox,"Jan23,1990",3.05,40%,2.73,49%,2.74,42%,50%,0.4
Jodie Esquibel,0,4,0,0,"5'1""",115lbs.,"64""",Orthodox,"May07,1986",4.10,31%,7.37,52%,0.75,21%,83%,0.0
Liz Carmouche,7,7,0,0,"5'6""",125lbs.,"66""",Orthodox,"Feb19,1984",2.78,54%,2.51,61%,2.57,51%,65%,0.3
Humberto Bandenay,1,3,0,0,"5'11""",145lbs.,"71""",Southpaw,"Sep04,1994",2.22,41%,4.79,41%,2.90,46%,62%,0.5
Bobby Moffett,1,2,1,0,"5'10""",145lbs.,"73""",Orthodox,"Jun01,1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
Geraldo de Freitas,1,1,0,0,"5'7""",135lbs.,"72""",Orthodox,"Sep30,1991",2.97,47%,2.30,49%,4.00,50%,60%,0.0
Joaquim Silva,4,2,0,0,"5'8""",155lbs.,"69""",Southpaw,"Feb05,1989",3.92,37%,4.43,56%,0.24,50%,64%,0.7
Kennedy Nzechukwu,3,1,0,0,"6'5""",205lbs.,"83""",Southpaw,"Jun13,1992",4.57,39%,3.69,55%,0.00,0%,78%,0.0
Salim Touahri,0,3,0,0,"5'10""",170lbs.,"72""",Orthodox,"Sep28,1989",2.60,46%,2.87,58%,0.00,0%,83%,0.0
Hannah Goldy,1,1,0,0,"5'4""",125lbs.,"61""",Orthodox,"May18,1992",6.53,46%,3.90,55%,0.00,0%,66%,0.0
Cristiane Justino,12,1,1,0,"5'8""",145lbs.,"68""",Orthodox,"Jul09,1985",7.28,52%,2.25,64%,0.66,55%,94%,0.4
Olivier Aubin-Mercier,7,5,0,0,"5'9""",155lbs.,"70""",Southpaw,"Feb23,1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5
Alexis Davis,8,6,0,0,"5'6""",125lbs.,"68""",Orthodox,"Oct04,1984",4.27,46%,4.18,55%,0.74,33%,32%,0.8
Yoshinori Horie,0,1,0,0,"5'8""",145lbs.,"70""",Orthodox,"May10,1995",2.76,49%,5.65,48%,0.00,0%,0%,0.0
Sarah Frota,1,2,0,0,"5'6""",125lbs.,"69""",Southpaw,"Apr14,1987",4.52,52%,2.57,55%,0.00,0%,53%,0.0
Erik Koch,8,6,0,0,"5'10""",170lbs.,"71""",Southpaw,"Oct04,1988",2.33,42%,2.82,47%,1.02,42%,81%,1.0
Kyle Stewart,1,2,0,0,"6'0""",170lbs.,"76""",Orthodox,"Jan31,1989",1.41,35%,2.42,43%,1.32,20%,60%,0.0
Leon Edwards,10,2,0,0,"6'2""",170lbs.,"74""",Southpaw,"Aug25,1991",2.53,47%,2.05,55%,1.39,31%,70%,0.4
Jin Soo Son,0,2,0,0,"5'6""",135lbs.,"69""",Orthodox,"Apr01,1993",5.10,36%,7.63,52%,1.50,25%,100%,0.0
Cezar Ferreira,9,6,0,0,"6'1""",185lbs.,"78""",Southpaw,"Feb15,1985",1.90,42%,2.44,53%,2.69,53%,84%,0.5
John Allan,0,1,1,0,"6'3""",205lbs.,"75""",Orthodox,"Feb22,1993",3.59,48%,4.39,51%,2.54,66%,57%,1.9
Sheymon Moraes,2,3,0,0,"5'8""",145lbs.,"72""",Orthodox,"Oct11,1990",3.00,42%,3.64,63%,0.00,0%,53%,0.0
Nicco Montano,1,1,0,0,"5'5""",135lbs.,"65""",Southpaw,"Dec16,1988",5.60,41%,4.43,64%,2.25,54%,69%,0.4
Ryan Hall,4,0,0,0,"5'10""",145lbs.,"70""",Southpaw,"Feb22,1985",2.32,43%,0.96,75%,0.31,16%,0%,0.9
Benito Lopez,3,1,0,0,"5'10""",135lbs.,"73""",Switch,"Apr06,1994",4.49,44%,4.80,58%,0.00,0%,78%,0.3
Thiago Santos,13,6,0,0,"6'2""",205lbs.,"76""",Orthodox,"Jan07,1984",4.44,47%,2.19,57%,0.83,40%,68%,0.1
Luke Rockhold,15,4,0,0,"6'3""",205lbs.,"77""",Southpaw,"Oct17,1984",4.18,48%,2.43,56%,0.67,30%,68%,1.1
Gilbert Melendez,17,8,0,0,"5'9""",145lbs.,"73""",Orthodox,"Apr12,1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2
Alejandro Perez,7,3,0,1,"5'6""",145lbs.,"67""",Orthodox,"Sep02,1989",3.52,35%,2.94,64%,0.52,20%,73%,0.1
Dan Moret,0,3,0,0,"6'0""",155lbs.,"73""",Southpaw,"Nov21,1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4
Junior Albini,1,4,0,0,"6'3""",264lbs.,"74""",Orthodox,"Mar15,1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0
Anderson Dos Santos,0,2,0,0,"5'5""",135lbs.,"70""",Orthodox,"Jul24,1985",2.70,26%,5.23,56%,1.00,20%,80%,0.5
Syuri Kondo,1,3,0,0,"5'4""",115lbs.,"66""",Orthodox,"Feb08,1989",5.40,44%,7.22,58%,0.00,0%,83%,0.3
Allen Crowder,2,2,0,0,"6'3""",245lbs.,"76""",Orthodox,"Nov08,1989",2.95,51%,2.95,56%,1.85,33%,100%,1.2
Eric Spicely,2,5,0,0,"6'1""",185lbs.,"73""",Orthodox,"Sep29,1986",3.71,45%,5.72,55%,1.31,20%,75%,1.0
Tatiana Suarez,5,0,0,0,"5'5""",115lbs.,"66""",Southpaw,"Dec19,1990",4.82,65%,1.45,48%,6.47,62%,100%,0.6
Nina Ansaroff,4,3,0,0,"5'5""",115lbs.,"64""",Orthodox,"Dec03,1985",4.81,47%,3.55,54%,0.29,40%,77%,0.6
Jimi Manuwa,6,6,0,0,"6'1""",205lbs.,"79""",Orthodox,"Feb18,1980",3.43,54%,3.97,49%,0.53,18%,70%,0.4
Sung Bin Jo,0,1,0,0,"6'0""",145lbs.,"72""",Orthodox,"Jul17,1992",1.40,33%,2.67,51%,1.00,33%,83%,1.0
Tonya Evinger,0,5,0,0,"5'7""",135lbs.,"70""",Orthodox,"Jun04,1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9
Nick Hein,4,4,0,0,"5'6""",155lbs.,"66""",Southpaw,"Apr24,1984",2.65,35%,3.61,59%,0.86,33%,83%,0.0
Duda Santana,0,1,0,0,"5'7""",145lbs.,"73""",Orthodox,"Jan10,1996",6.01,39%,2.72,73%,6.44,60%,0%,0.0
Desmond Green,4,3,0,0,"5'10""",155lbs.,"73""",Southpaw,"Oct11,1989",3.70,46%,2.51,69%,1.62,50%,75%,0.0
Michael Trizano,2,1,0,0,"5'11""",155lbs.,"71""",Orthodox,"Dec31,1991",3.02,53%,2.11,63%,0.40,50%,80%,0.8
Patrick Cummins,7,7,0,0,"6'2""",205lbs.,"76""",Orthodox,"Nov16,1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1
Kurt Holobaugh,0,5,1,0,"5'11""",155lbs.,"70""",Orthodox,"Sep08,1986",4.51,42%,4.28,46%,0.97,36%,45%,0.7
BJ Penn,16,14,0,2,"5'9""",155lbs.,"70""",Orthodox,"Dec13,1978",2.76,48%,3.20,56%,1.19,55%,74%,0.5
Talita Bernardo,1,3,0,0,"5'4""",135lbs.,"68""",Orthodox,"Mar04,1987",3.12,42%,4.04,55%,1.62,22%,28%,0.5
Elias Theodorou,8,3,0,0,"6'1""",185lbs.,"75""",Orthodox,"May31,1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0
Aiemann Zahabi,1,2,0,0,"5'8""",135lbs.,"68""",Orthodox,"Nov19,1987",2.81,39%,3.93,65%,0.36,16%,72%,0.0
Arjan Bhullar,3,1,0,0,"6'1""",245lbs.,"75""",Orthodox,"May13,1986",2.33,56%,3.25,59%,1.73,75%,100%,0.0
Mitch Gagnon,4,4,0,0,"5'5""",135lbs.,"65""",Southpaw,"Oct10,1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9
Dmitrii Smoliakov,0,3,0,0,"6'2""",253lbs.,"74""",Switch,"Aug05,1982",1.44,42%,3.81,55%,0.00,0%,75%,0.0
John Lineker,12,4,0,0,"5'3""",135lbs.,"67""",Orthodox,"Jun12,1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6
Jason Gonzalez,1,3,0,0,"6'2""",155lbs.,"74""",Southpaw,"Feb28,1990",3.06,39%,3.13,58%,0.00,0%,30%,1.0
Marcelo Golm,1,3,0,0,"6'3""",249lbs.,"75""",Orthodox,"Sep15,1992",4.27,58%,4.30,45%,0.45,50%,87%,0.5
Sultan Aliev,2,2,0,0,"5'11""",170lbs.,"74""",Orthodox,"Sep17,1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0
Keita Nakamura,5,7,0,0,"5'11""",170lbs.,"73""",Southpaw,"May22,1984",2.23,36%,3.20,58%,1.65,48%,63%,0.3
Alan Jouban,7,5,0,0,"6'0""",170lbs.,"73""",Southpaw,"Nov25,1981",4.85,50%,3.34,61%,0.59,50%,62%,0.0
Wilson Reis,7,6,0,0,"5'4""",125lbs.,"65""",Southpaw,"Jan06,1985",1.83,29%,3.04,55%,5.15,42%,47%,0.6
Curtis Millender,3,2,0,0,"6'2""",170lbs.,"76""",Orthodox,"Dec01,1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0
David Branch,4,5,0,0,"6'1""",185lbs.,"78""",Orthodox,"Sep26,1981",1.66,39%,1.91,56%,2.55,32%,43%,0.0
Jessica Aguilar,1,4,0,0,"5'3""",115lbs.,"63""",Orthodox,"May08,1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Ross Pearson,12,13,1,0,"5'8""",155lbs.,"69""",Orthodox,"Sep26,1984",3.68,40%,4.09,62%,0.74,35%,75%,0.0
Justin Willis,4,1,0,0,"6'1""",264lbs.,"78""",Southpaw,"Jul19,1987",3.37,59%,2.57,57%,0.96,66%,36%,0.0
